"","ctr.1","ctr.2","ctr.3","ctr.4","als.1","als.2","als.3","als.4"
"LOC100130992",0,0,0,0,0,0,0,0
"LOC100131060",0,0,0,0,0,0,0,0
"LOC100131067",3,1,3,3,5,3,3,4
"LOC100131089",3,2,3,2,4,2,4,4
"LOC100131094",0,0,0,0,0,0,0,0
"LOC100131096",0,0,0,0,0,0,0,0
"LOC100131138",0,0,0,0,0,0,0,0
"LOC100131234",0,0,0,0,0,0,0,0
"LOC100131257",1,2,1,1,1,2,1,1
"LOC100131289",0,0,0,0,0,0,0,0
"LOC100131320",0,0,0,0,0,0,0,0
"LOC100131347",0,0,0,0,0,0,0,0
"LOC100131434",2,2,1,1,1,2,1,1
"LOC100131496",0,0,0,0,0,0,0,0
"LOC100131551",0,0,0,0,0,0,0,0
"LOC100131564",3,3,2,2,4,7,2,2
"LOC100131626",0,0,0,0,0,0,0,0
"LOC100131655",0,0,0,0,0,0,0,0
"LOC100131691",3,1,1,1,3,2,2,2
"LOC100131726",0,0,0,0,0,0,0,0
"LOC100131825",1,1,0,0,0,2,0,0
"LOC100132062",2,4,2,3,3,4,2,2
"LOC100132077",4,3,3,2,3,3,3,3
"LOC100132111",0,0,0,0,0,0,0,0
"LOC100132146",0,0,0,0,0,0,0,0
"LOC100132215",1,1,1,1,2,1,2,1
"LOC100132247",9,10,5,5,4,11,6,3
"LOC100132273",7,8,10,6,11,15,8,10
"LOC100132287",2,4,2,3,3,4,2,2
"LOC100132352",12,16,4,4,14,5,11,8
"LOC100132354",0,0,0,1,1,0,0,0
"LOC100132356",1,1,0,0,1,1,1,1
"LOC100132526",0,0,0,0,0,0,0,0
"LOC100132707",0,0,0,1,0,0,0,0
"LOC100132735",0,0,0,0,0,0,0,0
"LOC100132741",0,0,0,0,0,0,0,0
"LOC100132781",0,0,0,0,0,0,0,0
"LOC100132831",0,0,0,0,0,0,0,0
"LOC100132832",2,1,1,2,1,1,2,2
"LOC100132891",1,0,0,2,0,0,0,0
"LOC100132987",0,0,0,0,0,0,0,0
"LOC100133050",0,1,0,0,1,1,1,1
"LOC100133091",2,2,2,2,2,1,2,3
"LOC100133161",3,3,4,4,3,3,2,2
"LOC100133286",0,0,0,0,0,0,0,0
"LOC100133315",1,0,1,1,1,0,1,1
"LOC100133331",6,8,5,6,6,9,5,5
"LOC100133445",0,0,0,0,0,0,0,0
"LOC100133461",0,0,0,0,0,0,0,0
"LOC100133612",0,0,0,0,0,0,0,0
"LOC100133669",0,0,0,1,0,0,0,0
"LOC100133920",0,0,0,0,0,0,0,0
"LOC100133957",0,0,0,0,0,0,0,0
"LOC100133985",1,1,1,1,1,1,1,1
"LOC100134229",2,1,2,2,2,1,2,2
"LOC100134259",0,0,0,1,0,0,0,0
"LOC100134317",0,0,0,0,0,0,0,0
"LOC100134368",0,0,0,0,0,0,0,0
"LOC100134868",2,0,2,4,5,1,1,2
"LOC100144595",0,0,0,0,0,0,0,0
"LOC100144597",0,0,0,0,0,0,0,0
"LOC100144602",2,7,5,2,8,9,4,8
"LOC100144603",2,1,2,1,2,1,1,2
"LOC100144604",0,0,0,0,0,0,0,0
"LOC100170939",4,9,4,4,6,9,6,3
"LOC100188947",3,3,2,1,2,4,2,2
"LOC100190940",0,0,0,0,0,0,0,0
"LOC100190986",4,5,2,2,1,5,2,1
"LOC100192204",0,0,0,0,0,0,0,0
"LOC100192426",0,0,0,0,0,0,0,0
"LOC100216001",0,0,0,0,0,0,0,0
"LOC100216479",1,1,1,1,1,1,1,1
"LOC100216545",1,4,1,1,1,2,1,1
"LOC100216546",1,1,0,0,0,1,0,0
"LOC100233156",0,0,0,0,0,0,0,0
"LOC100240734",22,91,22,21,42,62,27,38
"LOC100240735",9,9,8,4,10,8,10,10
"LOC100268168",1,1,1,1,1,1,1,1
"LOC100270746",1,1,1,1,1,1,0,1
"LOC100270804",1,1,1,1,1,1,1,1
"LOC100271702",0,0,0,0,0,0,0,0
"LOC100271722",0,0,0,0,0,0,0,0
"LOC100271832",0,0,0,0,0,0,0,0
"LOC100271836",3,4,1,1,1,2,2,1
"LOC100272216",2,8,1,1,2,5,1,0
"LOC100272217",0,3,1,0,1,3,1,1
"LOC100272228",5,5,1,2,2,5,2,1
"LOC100286793",4,7,4,4,5,6,5,5
"LOC100287010",0,0,0,0,0,0,0,0
"LOC100287015",2,1,1,1,1,1,2,2
"LOC100287036",0,0,0,0,0,0,0,0
"LOC100287042",1,0,1,1,1,0,1,1
"LOC100287177",0,0,0,0,0,0,0,0
"LOC100287178",0,0,0,0,0,0,0,0
"LOC100287225",0,0,0,0,0,0,0,0
"LOC100287314",0,0,0,0,0,0,0,0
"LOC100287327",0,0,0,0,0,0,0,0
"LOC100287364",0,0,0,0,0,0,0,0
"LOC100287441",0,0,0,0,0,0,0,0
"LOC100287482",2,0,1,1,2,0,1,1
"LOC100287513",0,0,0,0,0,0,0,0
"LOC100287632",0,0,0,0,0,0,0,0
"LOC100287718",0,0,1,0,0,0,0,0
"LOC100287792",0,0,0,0,0,0,0,0
"LOC100287846",0,0,0,0,1,0,1,0
"LOC100287879",0,0,0,0,0,0,0,0
"LOC100287944",0,0,0,0,0,0,0,0
"LOC100288069",6,9,6,6,5,6,6,4
"LOC100288079",0,0,0,0,0,0,0,0
"LOC100288122",0,0,0,0,0,0,0,0
"LOC100288123",1,1,0,0,0,1,0,0
"LOC100288181",0,0,0,0,0,0,0,0
"LOC100288198",1,0,0,0,1,0,0,1
"LOC100288255",0,0,0,0,0,0,0,0
"LOC100288346",3,7,8,2,6,8,4,5
"LOC100288428",0,1,0,0,0,0,0,0
"LOC100288432",1,0,1,1,1,1,1,1
"LOC100288524",0,0,0,0,0,0,0,0
"LOC100288570",0,0,0,0,0,0,0,0
"LOC100288637",2,1,1,1,0,1,1,1
"LOC100288748",0,0,0,0,0,0,0,0
"LOC100288778",31,31,21,26,21,33,25,44
"LOC100288814",0,0,0,0,0,0,0,0
"LOC100288842",2,0,3,2,3,1,3,3
"LOC100288846",0,0,1,0,1,0,0,1
"LOC100288911",3,3,4,3,5,4,4,3
"LOC100288974",0,0,0,0,0,0,0,0
"LOC100289019",2,3,2,1,2,3,2,1
"LOC100289092",6,4,6,4,6,1,7,7
"LOC100289137",0,0,0,0,0,0,0,0
"LOC100289187",1,1,1,1,1,3,1,1
"LOC100289230",1,1,1,0,1,1,1,1
"LOC100289341",1,1,1,1,1,1,1,2
"LOC100289361",1,0,1,1,2,1,1,1
"LOC100289473",0,0,0,0,0,0,0,0
"LOC100289495",1,1,1,1,1,1,1,1
"LOC100289509",1,0,0,1,0,1,0,0
"LOC100289511",1,2,0,0,0,1,0,0
"LOC100289561",0,0,0,0,0,1,1,0
"LOC100289650",0,0,0,0,0,0,0,0
"LOC100289656",0,0,0,0,0,0,0,0
"LOC100289673",0,0,0,0,0,0,0,0
"LOC100292680",0,0,0,0,0,0,0,0
"LOC100293534",5,1,3,17,3,1,3,2
"LOC100294145",7,7,14,9,15,8,9,13
"LOC100294362",2,1,1,1,2,1,2,2
"LOC100302640",1,2,2,2,2,2,1,1
"LOC100303749",0,0,0,0,0,0,0,0
"LOC100335030",0,0,0,0,0,0,0,0
"LOC100379224",2,1,5,2,2,2,3,3
"LOC100419868",0,0,0,0,0,0,0,0
"LOC100422737",0,0,0,0,0,0,0,0
"LOC100498859",0,0,0,0,0,0,0,0
"LOC100499183",0,0,0,0,0,0,0,0
"LOC100499194",0,0,0,0,0,0,0,0
"LOC100499227",1,0,1,0,2,0,1,1
"LOC100499405",0,0,0,0,0,0,0,0
"LOC100499484",0,0,0,0,0,0,0,0
"LOC100499484-C9ORF174",1,1,0,1,1,1,1,1
"LOC100499489",1,1,2,1,2,1,2,2
"LOC100505474",0,0,0,0,0,0,0,0
"LOC100505495",0,0,0,0,0,0,0,0
"LOC100505540",0,0,0,0,0,0,0,0
"LOC100505545",0,0,0,0,0,0,0,0
"LOC100505549",1,0,0,0,0,0,0,1
"LOC100505622",0,0,0,0,0,0,0,0
"LOC100505624",0,0,0,0,0,0,0,0
"LOC100505633",0,0,0,2,0,0,0,0
"LOC100505648",2,3,1,1,2,3,2,1
"LOC100505658",0,0,0,0,0,0,0,0
"LOC100505666",2,2,1,2,2,2,2,2
"LOC100505676",0,0,0,0,0,0,0,0
"LOC100505679",1,0,0,0,1,1,0,0
"LOC100505687",7,16,10,7,13,13,9,14
"LOC100505695",1,0,1,3,1,0,0,1
"LOC100505696",2,3,1,1,2,4,2,1
"LOC100505702",0,0,0,0,0,0,0,0
"LOC100505715",2,1,2,1,3,1,3,2
"LOC100505716",0,0,0,0,0,0,0,0
"LOC100505718",0,0,0,0,0,0,0,0
"LOC100505738",1,1,0,0,2,2,2,2
"LOC100505761",3,3,2,2,5,4,4,4
"LOC100505768",0,0,0,0,0,0,0,0
"LOC100505776",0,0,0,0,0,0,0,0
"LOC100505783",5,10,5,4,7,9,5,9
"LOC100505795",0,0,0,0,0,0,0,0
"LOC100505806",2,3,3,8,2,1,2,1
"LOC100505812",0,0,0,0,1,0,0,0
"LOC100505835",0,0,0,0,0,0,0,0
"LOC100505839",0,0,0,0,0,0,0,0
"LOC100505841",0,0,0,0,0,0,0,0
"LOC100505865",0,0,0,1,0,0,0,0
"LOC100505875",2,1,2,1,2,0,2,1
"LOC100505876",7,6,11,11,13,6,6,17
"LOC100505912",0,0,0,0,0,0,0,0
"LOC100505933",0,0,0,1,0,0,0,0
"LOC100505978",0,1,0,0,0,1,0,0
"LOC100506013",1,0,1,0,1,0,1,2
"LOC100506023",0,0,0,0,0,0,0,0
"LOC100506025",0,0,0,0,0,0,0,0
"LOC100506035",0,0,0,0,0,0,0,0
"LOC100506054",9,3,3,6,7,4,5,8
"LOC100506060",6,7,3,3,4,9,4,3
"LOC100506071",0,0,0,0,0,0,0,0
"LOC100506082",0,0,0,0,0,0,0,0
"LOC100506083",1,1,1,1,2,1,1,1
"LOC100506085",0,0,0,0,0,0,0,0
"LOC100506100",2,1,1,1,1,1,1,1
"LOC100506122",0,0,0,0,0,0,0,0
"LOC100506123",6,2,3,3,3,4,4,2
"LOC100506124",1,2,1,1,1,2,1,1
"LOC100506134",0,0,0,0,0,0,0,0
"LOC100506136",0,0,0,0,0,0,0,0
"LOC100506172",0,0,0,0,0,0,0,0
"LOC100506178",0,0,0,0,0,0,0,0
"LOC100506190",1,1,1,3,1,1,1,1
"LOC100506195",0,0,0,0,0,0,0,0
"LOC100506207",0,1,1,1,2,1,1,1
"LOC100506233",7,4,7,6,8,5,8,11
"LOC100506241",0,0,0,0,0,0,0,0
"LOC100506274",0,0,0,0,0,0,0,0
"LOC100506305",0,0,0,0,0,0,0,0
"LOC100506314",0,0,0,0,0,0,0,0
"LOC100506321",0,0,0,0,0,0,0,0
"LOC100506343",2,2,2,2,3,2,2,3
"LOC100506368",0,0,0,0,0,0,0,0
"LOC100506384",0,0,0,0,0,0,0,0
"LOC100506385",0,0,0,0,0,0,0,0
"LOC100506388",0,0,0,0,0,0,0,0
"LOC100506393",0,0,0,0,0,0,0,0
"LOC100506394",0,0,1,0,1,0,0,0
"LOC100506421",3,4,6,3,7,4,11,9
"LOC100506422",0,0,0,0,0,0,0,0
"LOC100506451",2,1,2,2,3,2,2,2
"LOC100506469",5,3,3,3,4,4,4,4
"LOC100506472",1,1,1,1,1,1,1,1
"LOC100506474",0,0,0,0,0,0,0,0
"LOC100506497",0,0,0,0,0,0,0,0
"LOC100506548",23,59,25,21,26,42,26,35
"LOC100506585",0,0,0,0,0,0,0,0
"LOC100506599",0,0,0,0,1,0,0,0
"LOC100506655",0,0,0,0,0,0,0,0
"LOC100506668",10,2,8,4,10,1,8,7
"LOC100506688",0,0,0,0,0,0,0,0
"LOC100506710",15,15,13,14,15,16,12,18
"LOC100506713",1,1,1,1,1,1,2,1
"LOC100506714",3,6,5,3,8,8,6,8
"LOC100506730",5,2,4,4,4,2,4,4
"LOC100506733",0,0,0,0,0,0,0,0
"LOC100506746",0,0,0,0,0,0,0,0
"LOC100506776",0,0,0,0,0,0,0,0
"LOC100506795",0,0,0,0,0,0,0,0
"LOC100506801",0,0,0,0,0,0,0,0
"LOC100506804",0,0,0,0,1,0,0,0
"LOC100506810",0,0,0,0,0,0,0,0
"LOC100506834",0,0,0,0,0,0,0,0
"LOC100506844",21,7,16,15,20,10,20,22
"LOC100506874",0,0,0,0,0,0,0,0
"LOC100506888",0,0,0,0,0,0,0,0
"LOC100506895",0,0,0,0,0,0,0,0
"LOC100506939",0,0,0,0,0,0,0,0
"LOC100506963",5,8,4,3,6,4,4,4
"LOC100506990",9,6,13,11,12,8,6,5
"LOC100506994",1,0,1,1,1,0,1,1
"LOC100507003",0,0,0,0,0,0,0,0
"LOC100507032",1,1,1,1,1,0,1,1
"LOC100507034",0,0,0,0,0,1,0,0
"LOC100507053",1,0,0,0,0,0,0,0
"LOC100507066",0,0,0,0,0,0,0,0
"LOC100507091",0,0,0,0,0,0,0,0
"LOC100507117",0,0,0,0,0,0,0,0
"LOC100507118",0,0,0,0,0,0,0,0
"LOC100507127",0,0,0,0,0,0,0,0
"LOC100507140",0,0,0,0,0,0,0,0
"LOC100507156",0,0,0,0,0,0,0,0
"LOC100507173",1,1,1,1,1,1,1,1
"LOC100507194",1,10,3,2,3,6,4,5
"LOC100507203",0,0,0,0,0,0,0,0
"LOC100507205",0,0,0,0,0,0,0,0
"LOC100507206",0,0,0,0,0,0,0,0
"LOC100507217",36,44,40,28,42,35,35,44
"LOC100507244",0,0,0,0,0,0,0,0
"LOC100507250",0,0,0,0,1,0,0,1
"LOC100507254",0,0,0,0,0,0,0,0
"LOC100507266",1,1,1,1,1,1,1,1
"LOC100507299",0,0,0,1,1,0,0,0
"LOC100507300",0,0,0,0,0,0,0,0
"LOC100507331",2,2,1,1,1,2,1,1
"LOC100507341",4,3,10,3,10,7,8,12
"LOC100507346",1,1,0,1,0,0,0,1
"LOC100507351",0,0,0,0,0,0,0,1
"LOC100507373",3,2,1,1,2,2,2,2
"LOC100507377",0,0,0,0,0,0,0,0
"LOC100507387",0,0,0,0,0,0,0,0
"LOC100507412",2,1,2,1,1,1,2,1
"LOC100507424",1,1,0,1,0,1,1,1
"LOC100507433",1,1,1,0,1,1,1,1
"LOC100507462",0,0,0,0,0,0,0,0
"LOC100507463",0,0,0,1,0,0,0,0
"LOC100507472",0,0,0,0,0,0,0,0
"LOC100507489",0,0,0,0,0,0,0,0
"LOC100507500",0,0,0,0,0,0,0,0
"LOC100507501",1,0,0,1,1,1,1,0
"LOC100507537",0,0,0,0,0,0,0,0
"LOC100507547",3,2,2,2,3,3,2,3
"LOC100507557",1,1,1,1,1,1,1,1
"LOC100507564",0,0,0,1,0,0,1,1
"LOC100507577",3,2,2,2,2,2,2,2
"LOC100507582",0,0,0,0,0,0,0,0
"LOC100507584",0,0,0,0,0,0,0,0
"LOC100507600",0,0,0,0,0,0,0,0
"LOC100507605",0,0,0,0,0,0,0,0
"LOC100507632",0,0,0,0,0,0,0,0
"LOC100507634",0,0,0,0,0,0,0,0
"LOC100507651",0,0,0,0,0,0,0,0
"LOC100508120",2,0,1,1,1,1,1,1
"LOC100527964",1,0,1,1,1,0,1,0
"LOC100616530",0,0,0,0,0,0,0,0
"LOC100630918",1,2,1,1,2,2,2,2
"LOC100630923",1,0,1,1,1,0,1,1
"LOC100631378",0,0,0,0,0,0,0,0
"LOC100652739",1,0,0,0,0,0,0,2
"LOC100652768",0,0,0,0,0,0,0,0
"LOC100652770",0,0,0,0,0,0,0,0
"LOC100652772",5,2,5,4,6,4,5,6
"LOC100652791",0,0,0,0,0,0,0,0
"LOC100652909",0,0,0,0,0,0,0,0
"LOC100652999",0,0,0,0,0,0,0,0
"LOC100653515",0,0,0,0,0,0,0,0
"LOC100859930",2,1,2,1,4,2,3,4
"LOC100861402",3,2,3,2,3,2,3,4
"LOC100862671",2,1,2,2,2,2,2,2
"LOC100873065",0,0,0,0,0,0,0,0
"LOC100996291",1,0,1,1,0,0,0,0
"LOC100996307",2,2,2,1,2,2,2,2
"LOC100996455",1,1,1,1,1,1,1,1
"LOC101055625",0,0,0,0,0,0,0,0
"LOC113230",2,5,2,2,3,5,3,2
"LOC115110",0,0,0,0,0,0,0,0
"LOC116437",0,0,0,0,0,0,0,0
"LOC143666",5,1,5,5,6,2,6,6
"LOC144486",0,0,0,0,0,0,0,0
"LOC144742",0,0,0,0,0,0,0,0
"LOC145474",0,0,0,0,0,0,0,0
"LOC145663",0,0,0,0,0,0,0,0
"LOC145783",1,1,1,1,1,1,1,2
"LOC145820",0,0,0,0,0,0,0,0
"LOC145837",0,0,0,0,0,0,0,0
"LOC145845",0,1,2,0,1,0,1,1
"LOC146481",0,0,0,0,0,0,0,0
"LOC146513",0,0,0,0,0,0,0,0
"LOC146880",3,2,2,1,2,3,2,1
"LOC147646",0,0,0,0,0,0,0,0
"LOC147670",1,1,1,1,1,1,1,2
"LOC148145",0,0,0,0,0,0,0,0
"LOC148413",9,4,9,7,11,5,10,11
"LOC148696",0,0,0,0,0,0,0,0
"LOC148709",1,0,1,1,1,0,1,1
"LOC149134",1,0,1,1,1,0,1,0
"LOC149373",0,0,0,0,0,0,0,0
"LOC149950",1,1,1,0,1,1,1,1
"LOC150197",0,0,0,0,0,0,0,0
"LOC150381",0,0,0,0,0,0,0,0
"LOC150568",1,1,2,0,2,2,2,2
"LOC150622",0,0,0,0,0,0,0,0
"LOC150776",6,11,3,3,5,10,5,4
"LOC150935",0,0,0,0,0,0,0,0
"LOC151009",1,5,3,1,3,5,2,1
"LOC151171",0,0,0,0,0,0,0,0
"LOC151174",1,1,1,1,1,1,1,1
"LOC151475",0,0,0,0,0,0,0,0
"LOC151484",0,0,0,0,0,0,0,0
"LOC152024",0,0,0,0,0,0,0,0
"LOC152217",10,5,13,10,17,7,16,18
"LOC152225",0,0,0,0,0,0,0,0
"LOC152578",0,0,0,0,0,0,0,0
"LOC152742",0,0,0,0,0,0,0,0
"LOC153684",0,0,0,0,0,0,0,0
"LOC153910",0,0,0,0,0,0,0,0
"LOC154449",0,0,0,0,0,0,0,0
"LOC154761",1,0,2,2,2,0,1,2
"LOC154822",0,0,0,0,0,0,0,0
"LOC154872",0,0,0,0,0,0,0,0
"LOC155060",2,2,1,1,1,3,2,1
"LOC157273",0,0,0,0,0,0,0,0
"LOC157381",0,0,0,0,0,0,0,0
"LOC158376",0,0,0,0,0,0,0,0
"LOC158434",0,0,0,0,0,0,0,0
"LOC158435",0,0,0,0,0,0,0,0
"LOC158572",2,0,1,1,1,0,1,1
"LOC158696",1,1,1,0,0,2,0,1
"LOC170425",0,0,0,0,0,0,0,0
"LOC200726",0,0,0,0,0,0,0,0
"LOC200772",0,0,0,0,0,0,0,0
"LOC201617",0,0,0,0,0,0,0,0
"LOC201651",0,0,0,0,0,0,0,0
"LOC202181",5,5,5,5,4,5,4,5
"LOC202781",3,2,3,2,4,3,3,3
"LOC219347",1,0,2,2,2,1,1,1
"LOC219731",0,0,0,0,0,0,0,0
"LOC220729",7,8,7,5,8,11,5,7
"LOC220906",18,6,22,17,23,11,20,21
"LOC221122",0,0,0,0,0,0,0,0
"LOC253039",5,0,3,4,5,1,5,5
"LOC253044",0,0,0,0,0,0,0,0
"LOC253573",0,0,0,0,0,0,0,0
"LOC254099",0,0,0,0,0,0,0,0
"LOC254100",1,4,1,1,1,3,1,1
"LOC254128",3,2,3,3,3,2,2,3
"LOC254312",0,0,0,0,0,0,0,0
"LOC254559",13,6,26,8,18,15,20,21
"LOC254896",0,0,1,0,0,1,0,0
"LOC255130",1,0,1,0,1,0,1,0
"LOC255167",0,0,0,0,0,0,0,0
"LOC255411",0,0,0,0,0,0,0,0
"LOC255512",2,1,1,1,2,1,1,1
"LOC256021",0,0,1,0,1,1,1,1
"LOC256880",0,0,0,0,0,0,0,0
"LOC257358",0,0,0,0,0,0,0,0
"LOC257396",1,0,1,1,1,1,1,1
"LOC282980",0,0,0,0,0,0,0,0
"LOC282997",2,1,2,1,2,1,1,2
"LOC283038",0,0,0,0,0,0,0,0
"LOC283050",0,0,0,0,0,0,0,0
"LOC283070",9,4,8,9,9,7,10,8
"LOC283143",0,0,0,0,0,0,0,0
"LOC283174",19,6,14,8,15,24,5,12
"LOC283177",0,1,0,0,0,1,0,0
"LOC283194",0,0,0,0,0,0,0,0
"LOC283214",0,0,0,0,0,0,0,0
"LOC283299",0,0,0,0,0,0,0,0
"LOC283332",0,0,0,0,0,0,0,0
"LOC283335",1,0,1,1,1,0,1,1
"LOC283440",0,0,0,0,0,0,0,0
"LOC283585",0,0,0,0,0,0,0,0
"LOC283663",0,0,0,0,0,0,0,0
"LOC283683",1,2,1,0,2,1,1,2
"LOC283688",0,0,0,0,0,0,0,0
"LOC283692",0,0,0,0,0,0,0,0
"LOC283693",0,0,0,0,0,0,0,0
"LOC283710",0,0,0,0,0,0,0,0
"LOC283731",1,1,1,1,1,1,1,1
"LOC283761",2,3,2,1,3,4,3,2
"LOC283788",4,5,0,1,3,2,3,2
"LOC283856",0,0,0,0,1,0,0,0
"LOC283867",0,0,0,0,0,0,0,0
"LOC283914",0,0,0,0,0,0,0,0
"LOC283922",3,1,2,2,2,2,1,1
"LOC284009",0,0,0,0,0,0,0,1
"LOC284023",3,3,3,2,3,3,4,3
"LOC284080",0,0,0,0,0,0,0,0
"LOC284100",0,0,0,0,0,0,0,0
"LOC284260",0,0,0,0,0,0,0,0
"LOC284276",1,0,1,2,1,0,1,1
"LOC284344",0,0,0,0,0,0,0,0
"LOC284379",0,0,0,0,0,0,0,0
"LOC284385",4,2,4,4,4,2,4,4
"LOC284395",0,0,0,0,0,0,0,0
"LOC284412",2,6,1,2,2,3,2,3
"LOC284454",1,0,0,0,1,1,0,0
"LOC284551",0,0,0,0,0,0,0,0
"LOC284578",0,0,0,0,0,0,0,0
"LOC284581",0,0,2,1,3,1,1,0
"LOC284632",0,0,0,0,0,0,0,0
"LOC284648",1,0,1,1,1,0,1,1
"LOC284661",0,0,0,0,0,0,0,0
"LOC284688",0,0,0,0,0,0,0,0
"LOC284751",0,0,0,0,0,0,0,0
"LOC284757",0,0,0,0,0,0,0,0
"LOC284798",0,0,0,0,0,0,0,0
"LOC284801",0,0,0,0,0,0,0,0
"LOC284837",0,0,0,0,0,0,0,0
"LOC284865",0,0,0,0,0,0,0,0
"LOC284889",2,2,2,2,2,1,2,1
"LOC284933",0,0,0,0,0,0,0,0
"LOC284950",0,0,0,0,0,0,0,0
"LOC284998",0,0,0,0,1,0,1,1
"LOC285033",1,1,1,1,1,1,1,1
"LOC285074",9,28,7,11,10,17,11,14
"LOC285084",0,0,0,0,0,0,0,0
"LOC285326",0,0,0,0,0,0,0,0
"LOC285359",1,1,0,1,0,1,1,0
"LOC285401",0,0,0,0,0,0,0,0
"LOC285419",0,1,1,1,1,0,1,0
"LOC285441",0,0,0,0,0,0,0,0
"LOC285484",0,0,1,0,1,0,0,0
"LOC285501",0,0,0,0,0,0,0,0
"LOC285540",0,0,0,0,0,0,0,0
"LOC285548",0,0,0,0,0,0,0,0
"LOC285577",0,0,0,0,0,0,0,0
"LOC285593",0,0,0,0,0,0,0,0
"LOC285626",0,0,0,0,0,0,0,0
"LOC285629",0,0,0,0,0,0,0,0
"LOC285692",0,0,0,0,0,0,0,0
"LOC285696",1,1,2,1,2,3,1,1
"LOC285740",0,0,0,0,0,0,0,0
"LOC285758",0,0,0,0,0,0,0,0
"LOC285762",0,0,0,0,0,0,0,0
"LOC285768",0,0,0,0,0,0,0,0
"LOC285819",0,0,0,0,0,0,0,0
"LOC285847",0,0,0,0,0,0,0,0
"LOC285878",0,0,1,0,1,0,1,1
"LOC285889",0,0,0,0,0,0,0,0
"LOC285972",0,0,0,0,0,0,0,0
"LOC286059",0,0,0,0,0,0,0,0
"LOC286083",0,0,0,0,0,0,0,0
"LOC286114",0,0,0,0,0,0,0,0
"LOC286135",0,0,0,0,0,0,0,0
"LOC286184",0,0,0,0,0,0,0,0
"LOC286186",0,0,0,0,0,0,0,0
"LOC286189",0,0,1,0,1,0,1,1
"LOC286190",0,0,0,0,0,0,0,0
"LOC286238",0,0,0,0,0,0,0,0
"LOC286297",0,0,0,0,0,0,0,0
"LOC286359",0,0,0,0,0,0,0,0
"LOC286367",0,0,0,0,0,0,0,0
"LOC286370",0,0,0,0,0,0,0,0
"LOC286437",1,3,2,2,1,3,1,1
"LOC286467",0,1,1,1,0,2,0,0
"LOC338579",0,0,0,0,0,0,0,0
"LOC338651",2,4,7,2,5,9,5,4
"LOC338739",1,1,0,0,0,0,0,0
"LOC338758",1,1,3,1,4,3,3,4
"LOC338799",11,7,5,8,10,13,9,9
"LOC338817",1,1,1,1,1,1,1,1
"LOC338963",0,0,0,0,0,0,0,0
"LOC339166",0,0,0,0,0,0,0,0
"LOC339240",0,0,0,0,0,0,0,0
"LOC339298",0,0,0,0,0,0,0,0
"LOC339442",0,0,0,0,0,0,0,0
"LOC339505",0,0,0,0,0,0,0,0
"LOC339524",0,0,0,0,0,0,0,0
"LOC339529",0,0,0,0,0,0,0,0
"LOC339535",1,2,0,0,5,0,4,0
"LOC339568",0,0,0,0,0,0,0,0
"LOC339593",0,0,0,0,0,0,0,0
"LOC339622",0,0,0,0,0,0,0,0
"LOC339666",0,1,0,0,0,1,0,0
"LOC339788",0,0,0,0,0,0,0,0
"LOC339803",6,2,4,4,5,3,3,4
"LOC339822",0,0,0,0,0,0,0,0
"LOC339862",0,0,0,0,0,0,0,0
"LOC339874",0,0,0,0,0,0,0,0
"LOC339894",2,0,4,1,6,1,3,1
"LOC339975",0,0,0,0,0,0,0,0
"LOC340074",0,0,0,0,0,0,0,0
"LOC340107",0,0,0,0,0,0,0,0
"LOC340508",0,0,0,0,0,0,0,0
"LOC340515",0,0,0,0,0,0,0,0
"LOC341056",0,0,0,0,0,0,0,0
"LOC344595",3,1,5,3,6,2,3,3
"LOC344887",0,0,0,0,0,0,0,0
"LOC344967",0,0,0,0,0,0,0,0
"LOC348120",0,0,0,0,0,0,0,0
"LOC348761",0,0,0,0,0,0,0,0
"LOC349160",0,0,0,0,0,0,0,0
"LOC349196",7,3,3,4,5,6,4,5
"LOC374443",1,1,1,1,1,1,1,2
"LOC375196",0,0,0,0,0,0,0,0
"LOC375295",1,1,2,0,1,0,1,1
"LOC387647",1,2,0,0,3,0,3,2
"LOC387723",1,0,0,0,0,0,0,0
"LOC388152",39,22,29,28,29,35,25,34
"LOC388242",0,1,1,0,0,1,0,0
"LOC388499",0,0,0,0,0,0,0,0
"LOC388553",0,0,0,0,0,0,0,0
"LOC388692",1,1,1,0,0,1,0,1
"LOC388796",8,18,10,8,8,24,10,11
"LOC388813",0,0,0,0,0,0,0,0
"LOC388849",2,0,0,0,1,0,0,0
"LOC388906",0,0,0,0,0,0,0,0
"LOC388948",0,0,0,0,0,0,0,0
"LOC389023",0,0,1,0,1,0,1,1
"LOC389033",0,0,0,0,0,0,0,0
"LOC389043",0,0,0,0,0,0,0,0
"LOC389247",0,0,0,0,0,0,0,0
"LOC389332",1,0,1,3,1,0,3,0
"LOC389458",0,0,0,0,0,0,0,0
"LOC389634",3,3,3,1,3,3,2,2
"LOC389641",0,0,0,0,0,0,0,0
"LOC389705",0,1,1,1,1,1,1,1
"LOC389765",2,8,2,2,2,4,2,2
"LOC389791",5,5,5,4,5,5,5,4
"LOC389831",10,31,10,12,10,9,34,17
"LOC389834",0,1,0,0,1,0,0,0
"LOC389906",17,9,27,16,13,19,12,17
"LOC390660",0,0,0,0,0,0,0,0
"LOC390705",0,25,0,0,0,0,8,0
"LOC391322",0,1,0,0,1,1,1,0
"LOC392196",0,0,0,0,0,0,0,0
"LOC392232",0,0,0,0,0,0,0,0
